6, 22, 2
6, 48744, 6
14, 143295, 1
22, 751, 1
35, 79, 1
35, 96, 1
52, 12, 4
73, 79, 1
73, 184790, 1
86, 11, 1
93, 8, 1
93, 798, 3
113, 42785, 1
209, 2135, 1
395, 8989, 1
587, 331, 1
643, 751, 1
721, 242525, 1
733, 5622, 1
854, 42785, 1
1695, 57, 3
1695, 798, 3
3429, 177203, 1
4603, 12, 1
4603, 48744, 1
6139, 57, 1
6139, 204, 1
6660, 96, 12
6660, 410400, 180
6703, 410400, 1
8964, 22, 2
9673, 751, 1
9673, 7909, 1
9673, 3335, 1
16028, 891, 1
44231, 378, 1
49020, 751, 1
57908, 184790, 2
65482, 548045, 1
79715, 8, 1
79715, 891, 1
79715, 66371, 1
321807, 891, 3
366607, 97, 1
402212, 5595, 1
448426, 66371, 1
575271, 4617, 9
575271, 402152, 1
680256, 48744, 72
779565, 184790, 5
